customer_id,new_address,postcode,state,property_valuation,transaction_id,product_id
2950,60 Morning Avenue,2016,New South Wales,10,1,2
3120,6 Meadow Vale Court,2153,New South Wales,10,2,3
402, Holy Cross Court,4211,QLD,9,3,37
3135,17979 Del Mar Point,2448,New South Wales,4,4,88
787,9 Oakridge Court,3216,VIC,9,5,78
2339,4 Delaware Trail,2210,New South Wales,9,6,25
1542,49 Londonderry Lane,2650,New South Wales,4,7,22
2459,97736 7th Trail,2023,New South Wales,12,8,15
1305,93405 Ludington Park,3044,VIC,8,9,67
3262,44339 Golden Leaf Alley,4557,QLD,4,10,12
1986,2 Sutherland Street,3799,VIC,6,11,5
2783,9 Mcbride Trail,2760,New South Wales,8,12,61
1243,9861 New Castle Avenue,2428,New South Wales,9,13,35
2717,52 Moland Street,3331,VIC,4,14,16
247,82391 Kensington Lane,3058,VIC,9,15,12
2961,92 2nd Alley,2135,New South Wales,12,16,3
2426,59 Spaight Circle,2233,New South Wales,9,17,79
1842,32 Bartelt Crossing,2444,New South Wales,8,18,33
2268,18 Jenna Center,2650,New South Wales,7,19,54
3002,3 Cordelia Plaza,2153,New South Wales,10,20,25
1582,28 5th Center,4413,QLD,3,21,27
595,52 Carey Alley,4740,QLD,5,22,37
2001,96 Texas Plaza,3218,VIC,7,23,37
515,48 Eagan Avenue,4868,QLD,4,24,82
2822,9 Buell Park,4116,QLD,7,25,89
2596,2663 Buell Parkway,2519,New South Wales,11,26,64
2666,2294 Pleasure Place,2135,New South Wales,12,27,64
76,2951 Petterle Place,2756,New South Wales,9,28,19
3368,63 Lukken Drive,2170,New South Wales,9,29,72
1173,833 Luster Way,4005,QLD,8,30,91
2810,34 Russell Plaza,4127,QLD,6,31,88
3214,78 Del Sol Hill,2535,New South Wales,8,32,1
1272,54 Sage Plaza,4726,QLD,1,33,25
2003,90 Lawn Parkway,4805,QLD,4,34,99
2171,38726 Ilene Crossing,2212,New South Wales,10,35,0
3356,3496 Brown Drive,2207,New South Wales,8,36,92
1040,7188 Cody Way,3350,VIC,9,37,14
2916,1 Claremont Park,3931,VIC,10,38,2
427,60 Eagan Circle,4018,QLD,8,39,12
2448,89314 Eagle Crest Center,4670,QLD,2,40,0
2570,2028 Lakewood Place,2480,New South Wales,3,41,44
3398,70875 Hudson Point,3212,VIC,6,42,79
488,543 Killdeer Park,2322,New South Wales,4,43,76
165,22125 Ramsey Drive,3198,VIC,9,44,46
2787,3107 Calypso Terrace,2210,New South Wales,9,45,55
3053,957 Veith Junction,2047,New South Wales,10,46,66
475,4853 Gulseth Avenue,4503,QLD,5,47,35
1305,9 Michigan Terrace,2145,New South Wales,8,48,81
1251,62 Steensland Road,4350,QLD,3,49,86
3103,6 Homewood Avenue,2142,New South Wales,8,50,32
3108,15 Almo Lane,2029,New South Wales,10,51,77
857,690 Glacier Hill Circle,2127,New South Wales,10,52,96
3455,89787 Village Green Terrace,4280,QLD,6,53,6
2549,18 Elgar Park,2166,New South Wales,9,54,27
3140,413 Mayer Street,2046,New South Wales,9,55,0
3406,39 3rd Drive,2026,New South Wales,10,56,47
2294,44516 Katie Parkway,2765,New South Wales,7,57,94
1031,41 Schurz Center,2749,New South Wales,8,58,91
993,68150 Boyd Road,2745,New South Wales,9,59,93
3473,11474 Westend Hill,3752,VIC,8,60,60
1839,308 Jana Crossing,2153,New South Wales,10,61,0
1824,163 Straubel Trail,2217,New South Wales,10,62,33
368,68294 Clarendon Crossing,2230,New South Wales,10,63,35
2000,486 Mariners Cove Plaza,3046,VIC,7,64,0
825,322 Dryden Court,3183,VIC,7,65,28
3315,9 Bonner Road,2070,New South Wales,12,66,86
75,7041 Briar Crest Lane,2213,New South Wales,10,67,2
1498,29466 Hanson Pass,4208,QLD,6,68,4
1612,212 Forest Run Trail,2774,New South Wales,8,69,38
2192,33055 Menomonie Parkway,4133,QLD,8,70,27
419,4763 Merchant Avenue,2756,New South Wales,8,71,54
3307,439 Ridgeway Court,4213,QLD,9,72,77
2430,2 Clyde Gallagher Lane,4170,QLD,5,73,22
1506,97455 Loeprich Lane,2153,New South Wales,9,74,56
1346,9527 Ridgeway Street,2073,New South Wales,10,75,58
927,7 Jackson Point,3561,VIC,1,76,22
763,74 Anniversary Junction,2330,New South Wales,6,77,50
2397,2083 Spaight Court,3977,VIC,8,78,80
102,2796 Caliangt Circle,2204,New South Wales,12,79,87
2884,96061 Ludington Place,2086,New South Wales,11,80,15
759,5037 Merchant Crossing,2226,New South Wales,11,81,84
773,289 Haas Street,2075,New South Wales,11,82,21
3398,4423 Bartelt Parkway,2038,New South Wales,12,83,0
3297,5 Grim Center,2069,New South Wales,12,84,33
2434,73042 Roth Crossing,2100,New South Wales,11,85,84
1861,171 Fordem Junction,2233,New South Wales,10,86,1
1233,2640 Manley Point,2166,New South Wales,9,87,27
